"SiteID","HYBAS_ID","log_CVc","log_CVe","log_Delta","log_Psi","log_omega","s_nat_rich_covar","s_inv_rel_abund","yrs_with_intro","s_inv_rich","s_spat_btw_c","b_spat_wc_mean_c","s_spat_btw","b_spat_wc_mean"
"S12536",7070642870,-0.723157461505659,-0.355058225652094,-0.112293566683506,-0.157606905333471,-0.0981987638365882,5,0,1,1,-0.00441537797516166,-33.0185025452322,0,31.8797518610422
"S12537",7070642870,-1.00773881737312,-0.54430804478772,-0.0754436669411346,-0.163294779856294,-0.224692325787969,19,0,0,0,-0.00271770111192188,-33.0185025452322,0.00169767686323978,31.8797518610422
"S12540",7070642870,-1.6165488217109,-0.945111206806982,-0.182112620019918,-0.335198277322297,-0.154126717561707,6,0,0,0,-0.00441537797516166,-33.0185025452322,0,31.8797518610422
"S12567",7070642870,-1.07846050432881,-0.574755306260771,0.0500292255058809,-0.317262704363383,-0.236471719210538,18,0,0,0,-0.00402293254960365,-33.0185025452322,0.000392445425558008,31.8797518610422
"S12580",7070642870,-1.01094136527357,-0.438996981486678,-0.0211031421950962,-0.193092576718409,-0.357748664873383,17,0,0,0,-0.00406498027377058,-33.0185025452322,0.000350397701391079,31.8797518610422
"S12583",7070642870,-1.51948655825553,-0.569507055482026,-0.0150313040392019,-0.338655075213194,-0.596293123521107,12.5,0,0,0,-0.00426821094057741,-33.0185025452322,0.000147167034584253,31.8797518610422
"S12587",7070642870,-0.531206835203631,-0.300054121246581,-0.00219833674368133,-0.101054370352141,-0.127900006861228,14,0,0,0,-0.00419813140029919,-33.0185025452322,0.000217246574862469,31.8797518610422
"S12597",7070642870,-1.24667634573628,-0.405329709687194,-0.127729053989661,-0.584435038421587,-0.129182543637837,12,0,0,0,-0.00441537797516166,-33.0185025452322,0,31.8797518610422
"S12606",7070648760,-1.35752141638353,-0.789944724043674,-0.0785951596515918,-0.227352331738293,-0.261629200949973,16,0,0,0,-0.00263620476741702,6.385381957362,0.00177917320774464,71.2836363636364
"S12607",7070648760,-1.58597067604922,-0.589555703733876,0.0341383450813717,-0.517134500280189,-0.51341881711653,18,0,0,0,-0.000543059817129217,6.385381957362,0.00387231815803244,71.2836363636364
"S12609",7070648760,-1.51427625702624,-0.730108125154257,-0.0999207844687531,-0.209908694852158,-0.474338652551068,20.5,0,0,0,-0.000857031559672389,6.385381957362,0.00355834641548927,71.2836363636364
"S12611",7070648760,-1.47105089712174,-0.820373131188136,-0.0747744192651306,-0.225511349546496,-0.350391997121972,14.5,0,0,0,-0.00441537797516166,6.385381957362,0,71.2836363636364
"S12612",7070648760,-0.655237845056243,-0.352913811321873,-0.00690749216818608,-0.13390673771796,-0.161509803848223,17,0,0,0,-0.00441537797516166,6.385381957362,0,71.2836363636364
"S12613",7070648760,-2.24698090221951,-0.501995989027452,0.076423489599185,-0.560997786279523,-1.26041061651172,21,0,0,0,0.00181172825194457,6.385381957362,0.00622710622710623,71.2836363636364
"S12615",7070648760,-0.807545982471158,-0.399470488340149,-0.0110335400734768,-0.135166846725727,-0.261875107331805,19,0,0,0,-0.00378743449007532,6.385381957362,0.000627943485086342,71.2836363636364
"S12617",7070648760,-1.6135546214868,-0.450289675055072,-0.0835579220336936,-0.354752324529682,-0.724954699868356,21,0,0,0,-0.000752374312157998,6.385381957362,0.00366300366300366,71.2836363636364
"S12618",7070648760,-0.320189560509457,-0.214529209607867,0.194162777979606,-0.166053774934254,-0.133769353946942,18,0,0,0,-0.00253154751990263,6.385381957362,0.00188383045525903,71.2836363636364
